exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,block_length,batch_size,first_half_positive,first_half_negative,first_half_perplexity,second_half_positive,second_half_negative,second_half_perplexity,full_text_positive,full_text_negative,full_text_perplexity
pattern_l25_a1.2_fh0.5_sh1.0,1,25,positive,True,1.2,0.5,1.0,128,10,0.261678332942829,0.14570155893077755,5.616054623126984,0.35205724779718367,0.11488376093559026,8.30333002448082,0.31989005674389775,0.054357966623229004,4.647413792610169
pattern_l25_a1.2_fh0.5_sh1.5,1,25,positive,True,1.2,0.5,1.5,128,10,0.27472445120511113,0.13406901492562612,5.708159031867981,0.2661441425746307,0.1975574499357026,8.612974388599396,0.25472212142776696,0.0979042286123149,4.841464929580688
pattern_l25_a1.2_fh0.5_sh2.0,1,25,positive,True,1.2,0.5,2.0,128,10,0.2754321131395409,0.1277123391214991,5.680048642158508,0.23493259926268364,0.2837894278613385,9.829503889083862,0.2280240080715157,0.11535893894499168,5.121553504467011
pattern_l25_a1.2_fh0.5_sh2.5,1,25,positive,True,1.2,0.5,2.5,128,10,0.2665785330045037,0.12947321823972743,5.567415664196014,0.16780531137774232,0.3378327772114426,10.52156355381012,0.18456027449225076,0.1612226061639376,5.431479761600494
pattern_l25_a1.2_fh0.5_sh3.0,1,25,positive,True,1.2,0.5,3.0,128,10,0.26558108815719605,0.12400107645400567,5.671341152191162,0.1628796328311728,0.4031055904505774,11.32355804681778,0.16145632090978324,0.18098216192331165,5.756533312797546
pattern_l25_a1.2_fh1.0_sh1.0,1,25,positive,True,1.2,1.0,1.0,128,10,0.3020791655941866,0.11485667767759879,5.4240754079818725,0.3777903098240495,0.11873236121959053,7.628741127252579,0.29643737177131696,0.05984464383916929,4.574699681997299
pattern_l25_a1.2_fh1.0_sh1.5,1,25,positive,True,1.2,1.0,1.5,128,10,0.3086039873119444,0.11794269671780057,5.315182547569275,0.27320522886235266,0.20124140910804272,8.492227432727814,0.23561284640978555,0.10733946577413007,4.655786839723587
pattern_l25_a1.2_fh1.0_sh2.0,1,25,positive,True,1.2,1.0,2.0,128,10,0.32117229647934437,0.10281455021642615,5.42374632358551,0.20694339976744278,0.24073066947005187,8.75433539390564,0.20329202683118638,0.11935508341610329,4.906971472501755
pattern_l25_a1.2_fh1.0_sh2.5,1,25,positive,True,1.2,1.0,2.5,128,10,0.31753493431955576,0.10967115682491567,5.469300169944763,0.1815999775187811,0.29662563572637735,10.575743534564971,0.17890314629417844,0.12524413027247647,5.274832230806351
pattern_l25_a1.2_fh1.0_sh3.0,1,25,positive,True,1.2,1.0,3.0,128,10,0.29092950209975244,0.12913051071634982,5.542848703861236,0.17480628014425748,0.4072324270522222,10.07267022371292,0.1881106670826557,0.16872648616321384,5.539319311380386
pattern_l25_a1.6_fh0.5_sh1.0,1,25,positive,True,1.6,0.5,1.0,128,10,0.2559579581290018,0.12914047434023815,5.763979051113129,0.32344091174192724,0.12516797046526335,8.48011081457138,0.27130137748084965,0.05411070711532375,4.818976132869721
pattern_l25_a1.6_fh0.5_sh1.5,1,25,positive,True,1.6,0.5,1.5,128,10,0.26826921273837795,0.120386389461637,5.661175467967987,0.2344387788954191,0.24565648754942232,9.51009786605835,0.22889588355319573,0.11552244008285925,5.159954469203949
pattern_l25_a1.6_fh0.5_sh2.0,1,25,positive,True,1.6,0.5,2.0,128,10,0.2800858692266047,0.14164073074469344,5.527727773189545,0.17662546087929512,0.3762661931151524,10.088330554962159,0.1997458812443074,0.16278494390659035,5.37296838760376
pattern_l25_a1.6_fh0.5_sh2.5,1,25,positive,True,1.6,0.5,2.5,128,10,0.2864793541654944,0.11972065060283058,5.445788593292236,0.21109524424537085,0.38197066008578984,11.73307415008545,0.212299537837971,0.1336983961542137,5.878722624778748
pattern_l25_a1.6_fh0.5_sh3.0,1,25,positive,True,1.6,0.5,3.0,128,10,0.2677174627408385,0.12129243295057676,5.54110326051712,0.26191866752225906,0.32927699512802067,4852.77658003211,0.25410796255338935,0.09777586523094214,5.894027154445649
pattern_l25_a1.6_fh1.0_sh1.0,1,25,positive,True,1.6,1.0,1.0,128,10,0.3168884515576065,0.09580726639193017,6.111646358966827,0.3765261902866223,0.14456941187867642,7.696570603847504,0.2987825096229244,0.0691457309112036,4.727143068313598
pattern_l25_a1.6_fh1.0_sh1.5,1,25,positive,True,1.6,1.0,1.5,128,10,0.3369968379661441,0.0870183422206901,5.774175748825074,0.2637965896708192,0.2662053214199841,15.062723753452302,0.2501242817053571,0.14119613141665469,5.020076715946198
pattern_l25_a1.6_fh1.0_sh2.0,1,25,positive,True,1.6,1.0,2.0,128,10,0.35733646612614395,0.08854067607957404,5.787112441062927,0.1634424629987916,0.39213848223094827,8.802430131435393,0.17027759270276874,0.19942351098841754,5.30832819223404
pattern_l25_a1.6_fh1.0_sh2.5,1,25,positive,True,1.6,1.0,2.5,128,10,0.34362658361686044,0.08049898219993339,5.843456137180328,0.23981499659013936,0.38637545724399386,1588.6002425837517,0.22350212900259067,0.16209236904804128,5.439904402494431
pattern_l25_a1.6_fh1.0_sh3.0,1,25,positive,True,1.6,1.0,3.0,128,10,0.33335771672427655,0.08109529125096743,5.589083616733551,0.2883855943381786,0.357343952730007,152.78655612707138,0.2831600511725992,0.10213088859803975,5.987039067745209
pattern_l25_a2.0_fh0.5_sh1.0,1,25,positive,True,2.0,0.5,1.0,128,10,0.2885219021141529,0.126953331650584,5.622659969329834,0.25380911006534007,0.23580481868761127,8.679437870979308,0.22783687893592286,0.11709617962245829,4.804253182411194
pattern_l25_a2.0_fh0.5_sh1.5,1,25,positive,True,2.0,0.5,1.5,128,10,0.2985901032970287,0.12736315469664988,5.479967255592346,0.1658577134780353,0.32457569626392796,9.6013480758667,0.18591308632865547,0.1585808765469119,5.15359025478363
pattern_l25_a2.0_fh0.5_sh2.0,1,25,positive,True,2.0,0.5,2.0,128,10,0.2804351681470871,0.12058536938508041,5.565728685855865,0.24628195670375136,0.35027504795230924,16.0955890083313,0.1889448228175752,0.12754464075900615,6.286162469387055
pattern_l25_a2.0_fh0.5_sh2.5,1,25,positive,True,2.0,0.5,2.5,128,10,0.2834910137578845,0.12473274077114184,5.606309657096863,0.2750377494111308,0.3535541062057018,4850.438111635446,0.27852738768327984,0.09066488456679508,5.7532803916931154
pattern_l25_a2.0_fh0.5_sh3.0,1,25,positive,True,2.0,0.5,3.0,128,10,0.29696539856493476,0.12020948606077582,5.584321122169495,0.26312285743653774,0.35651235684752464,161.56413128733635,0.3297530509810895,0.07455088511225767,6.689357032775879
pattern_l25_a2.0_fh1.0_sh1.0,1,25,positive,True,2.0,1.0,1.0,128,10,0.3853262464236468,0.09607686078874395,6.095706830024719,0.3624697573692538,0.18920815653982573,7.2719232833385465,0.27531081706169064,0.13246263206703587,4.749444478750229
pattern_l25_a2.0_fh1.0_sh1.5,1,25,positive,True,2.0,1.0,1.5,128,10,0.37792716099880636,0.10394702805555425,5.972562940120697,0.2877888262551278,0.2987033234775299,6.713106181621551,0.24290778732858598,0.15048244653618895,4.660332685708999
pattern_l25_a2.0_fh1.0_sh2.0,1,25,positive,True,2.0,1.0,2.0,128,10,0.3627434730890673,0.09132067411897879,5.945009458065033,0.34768862451892346,0.2835775685426779,69.32194583415985,0.28065201092278586,0.13798231993918308,5.064425458908081
pattern_l25_a2.0_fh1.0_sh2.5,1,25,positive,True,2.0,1.0,2.5,128,10,0.36682987258711364,0.0762021271942649,6.480716345310211,0.3077309103659354,0.3421389475092292,5012.01806671381,0.3000215435260907,0.11779925108072348,6.53333017706871
pattern_l25_a2.0_fh1.0_sh3.0,1,25,positive,True,2.0,1.0,3.0,128,10,0.3539191932976246,0.0809941730328137,6.410676004886628,0.2816285323863849,0.3424074759008363,109.0182056415081,0.334130579107441,0.0694428322056774,6.424303450584412
pattern_l25_a2.4_fh0.5_sh1.0,1,25,positive,True,2.4,0.5,1.0,128,10,0.32117229647934437,0.10281455021642615,5.42374632358551,0.20694339976744278,0.24073066947005187,8.75433539390564,0.20329202683118638,0.11935508341610329,4.906971472501755
pattern_l25_a2.4_fh0.5_sh1.5,1,25,positive,True,2.4,0.5,1.5,128,10,0.29092950209975244,0.12913051071634982,5.542848703861236,0.17480628014425748,0.4072324270522222,10.07267022371292,0.1881106670826557,0.16872648616321384,5.539319311380386
pattern_l25_a2.4_fh0.5_sh2.0,1,25,positive,True,2.4,0.5,2.0,128,10,0.3016120238602161,0.1327465141826542,5.39054986000061,0.28175103074871005,0.3456806707754731,17.740379182100295,0.2863226766744629,0.09075660951784811,5.679580953121185
pattern_l25_a2.4_fh0.5_sh2.5,1,25,positive,True,2.4,0.5,2.5,128,10,0.3049375462904573,0.11390434448316228,5.42976939201355,0.2605656467843801,0.3603223005402833,172.82914516210556,0.32855146723799405,0.06052986274415161,6.642223470211029
pattern_l25_a2.4_fh0.5_sh3.0,1,25,positive,True,2.4,0.5,3.0,128,10,0.310999623015523,0.10444220065081027,6.133981833457947,0.1698194692656398,0.2835802796855569,803.2150659072399,0.31873505029827354,0.07161092283087783,10.368168473243713
pattern_l25_a2.4_fh1.0_sh1.0,1,25,positive,True,2.4,1.0,1.0,128,10,0.368654262740165,0.06653484529990238,7.010738446712494,0.5112828211917076,0.14233548726580922,5.6316277551651,0.3128305554063991,0.06649239372170995,4.154960366487503
pattern_l25_a2.4_fh1.0_sh1.5,1,25,positive,True,2.4,1.0,1.5,128,10,0.379909737482667,0.060011305035441186,6.991304266452789,0.3986490436986787,0.22790850458899514,66.74528359174728,0.2673390599526465,0.09280485064082314,4.332802923917771
pattern_l25_a2.4_fh1.0_sh2.0,1,25,positive,True,2.4,1.0,2.0,128,10,0.36916567868494893,0.0583097275585169,6.9336767625808715,0.382917716819793,0.2652457733484334,9.10943738102913,0.2614106666762382,0.08858652388909832,4.6346353185176845
pattern_l25_a2.4_fh1.0_sh2.5,1,25,positive,True,2.4,1.0,2.5,128,10,0.37259121768176556,0.06337151976535096,6.871630146503448,0.29988658261485396,0.3270565209630877,115.68096210360527,0.289580430528149,0.06188343701360281,6.512823371887207
pattern_l25_a2.4_fh1.0_sh3.0,1,25,positive,True,2.4,1.0,3.0,128,10,0.25813794216141106,0.07417538375721051,216.4294633102417,0.1430861317552626,0.19964821439236402,1070.7519783961773,0.2551331334002316,0.04609375562984496,73.73233370780945
pattern_l25-31-16_a1.2_fh0.5_sh1.0,3,"25,31,16",positive,True,1.2,0.5,1.0,128,10,0.27660933282226324,0.11191881374747027,5.782465600967408,0.2904091221652925,0.15098866218235343,8.064771852493287,0.24514183933846653,0.07111107924178213,4.633295273780822
pattern_l25-31-16_a1.2_fh0.5_sh1.5,3,"25,31,16",positive,True,1.2,0.5,1.5,128,10,0.29581320529803634,0.12032718417351135,5.618992581367492,0.17963050768623362,0.28936804640514313,10.284312109947205,0.1717904609447578,0.1795476304355543,5.254582500457763
pattern_l25-31-16_a1.2_fh0.5_sh2.0,3,"25,31,16",positive,True,1.2,0.5,2.0,128,10,0.31014245448226574,0.09904798822768499,5.632558546066284,0.06848551204660908,0.4477562963683158,11.510243270397186,0.10168501359265064,0.2502778534498066,6.065429503917694
pattern_l25-31-16_a1.2_fh0.5_sh2.5,3,"25,31,16",positive,True,1.2,0.5,2.5,128,10,0.29237655786797406,0.11613886911189183,5.822589778900147,0.1078057695098687,0.3808449525758624,19.35617838740349,0.11742261504055933,0.1724775455292547,6.8881263613700865
pattern_l25-31-16_a1.2_fh0.5_sh3.0,3,"25,31,16",positive,True,1.2,0.5,3.0,128,10,0.2958916361629963,0.09228589083300903,5.801989259719849,0.12073980307672173,0.3529478620737791,319.44200342059133,0.19677763570216483,0.12486783319618552,5.8398540449142455
pattern_l25-31-16_a1.2_fh1.0_sh1.0,3,"25,31,16",positive,True,1.2,1.0,1.0,128,10,0.3502641810849309,0.08441414554137737,6.309539966583252,0.28726383601211297,0.15443977886722224,7.697250020503998,0.24076850624527707,0.06948809751697581,4.907217223644256
pattern_l25-31-16_a1.2_fh1.0_sh1.5,3,"25,31,16",positive,True,1.2,1.0,1.5,128,10,0.3971567265689373,0.0796887195680756,6.163323369026184,0.16955276212283935,0.31647252839175055,8.84311894416809,0.1751525468393811,0.17709171512920874,5.32230904340744
pattern_l25-31-16_a1.2_fh1.0_sh2.0,3,"25,31,16",positive,True,1.2,1.0,2.0,128,10,0.3847583796083927,0.08287185015040449,6.184599840641022,0.09373487938468315,0.3725112338049803,10.935939265489578,0.08335215345214238,0.21170137414708734,6.0167077291011815
pattern_l25-31-16_a1.2_fh1.0_sh2.5,3,"25,31,16",positive,True,1.2,1.0,2.5,128,10,0.40318153191357853,0.04650069775001611,5.995481405258179,0.11929581932956353,0.4356641721498454,49.11287531614303,0.14910832200315782,0.15854567853733897,5.808532335758209
pattern_l25-31-16_a1.2_fh1.0_sh3.0,3,"25,31,16",positive,True,1.2,1.0,3.0,128,10,0.3586265455186367,0.05690457295277156,6.042191286087036,0.11666917935479432,0.3421676971763372,1177.3898310244083,0.17995860021328552,0.1142703275801614,5.384958863258362
pattern_l25-31-16_a1.6_fh0.5_sh1.0,3,"25,31,16",positive,True,1.6,0.5,1.0,128,10,0.26443738376256076,0.10242889038694557,5.53129611492157,0.23679446264344733,0.20550217585405334,8.973911273479462,0.22482471248236835,0.09908749557973351,4.940874707698822
pattern_l25-31-16_a1.6_fh0.5_sh1.5,3,"25,31,16",positive,True,1.6,0.5,1.5,128,10,0.293302272791625,0.09570672808622475,5.526883327960968,0.09018461320694769,0.3826321601704694,12.622761952877045,0.10777284368261462,0.21807567791780458,6.246872797012329
pattern_l25-31-16_a1.6_fh0.5_sh2.0,3,"25,31,16",positive,True,1.6,0.5,2.0,128,10,0.31615077652037143,0.08350372916669585,5.654805201292038,0.1348488178034313,0.3764794817508664,62.70470029354095,0.17636547831934876,0.1184695492265746,6.073752263784408
pattern_l25-31-16_a1.6_fh0.5_sh2.5,3,"25,31,16",positive,True,1.6,0.5,2.5,128,10,0.3222256946773268,0.06908048323355614,5.498601619005203,0.11846966728568077,0.33574404299259186,194.9605505168438,0.1757456292875577,0.11375205932185053,5.656953477859497
pattern_l25-31-16_a1.6_fh0.5_sh3.0,3,"25,31,16",positive,True,1.6,0.5,3.0,128,10,0.31853930581361056,0.08448160266154446,5.7224434781074525,0.11730663653463125,0.23378479398787022,474.1868911123276,0.13553411080967634,0.1295161721203476,6.011585166454315
pattern_l25-31-16_a1.6_fh1.0_sh1.0,3,"25,31,16",positive,True,1.6,1.0,1.0,128,10,0.40573363196104767,0.06514792801928707,5.5980635619163515,0.42421568896250395,0.16124408113071695,5.98844103217125,0.2680855987801624,0.0947281473572366,4.0980074751377105
pattern_l25-31-16_a1.6_fh1.0_sh1.5,3,"25,31,16",positive,True,1.6,1.0,1.5,128,10,0.3767346096783876,0.07062707428645808,5.425822439193726,0.31032013337739045,0.3177325186709641,6.896096222400665,0.21014250202075346,0.15407060917466878,4.454633599519729
pattern_l25-31-16_a1.6_fh1.0_sh2.0,3,"25,31,16",positive,True,1.6,1.0,2.0,128,10,0.38058993466198443,0.04919444104772992,5.501738860607147,0.2094598169438541,0.35025259528076275,1401.824657882452,0.20296468486078084,0.09206698694848456,4.68594664812088
pattern_l25-31-16_a1.6_fh1.0_sh2.5,3,"25,31,16",positive,True,1.6,1.0,2.5,128,10,0.35462601328268645,0.043350043045938945,5.932691557407379,0.13988711128011347,0.2511279829358682,1750.7533576524258,0.1335282456257846,0.09201033655554056,4.46918154835701
pattern_l25-31-16_a1.6_fh1.0_sh3.0,3,"25,31,16",positive,True,1.6,1.0,3.0,128,10,0.2879195948317647,0.0490965752559714,5.937978621721268,0.10903930630534887,0.18794440355151892,678.9495674157142,0.11444352283258923,0.087454263928812,5.5157313370704655
pattern_l25-31-16_a2.0_fh0.5_sh1.0,3,"25,31,16",positive,True,2.0,0.5,1.0,128,10,0.3217196134237747,0.0810443770256461,5.7686349129676815,0.14221785060086403,0.33848049003630876,10.321949617862701,0.14682696237847268,0.18138519003754483,5.557758209705352
